trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.2, 'e': 1.0}",20,0,-192.31941432121752,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
104,False,"{'a': 0.2, 'e': 1.0}",20,5,-85.4088240713796,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 1.0}",20,0,-159.95217534080734,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
106,False,"{'a': 0.2, 'e': 1.0}",20,0,-142.08331606185826,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
107,False,"{'a': 0.2, 'e': 1.0}",25,0,-177.12325138693888,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
108,False,"{'a': 0.2, 'e': 1.0}",20,0,-39.60253417437484,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.2, 'e': 1.0}",20,0,-103.44951009472786,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.2, 'e': 1.0}",20,0,-121.03113127954039,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
111,False,"{'a': 0.2, 'e': 1.0}",20,0,-127.25060349314437,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
112,False,"{'a': 0.2, 'e': 1.0}",25,0,-151.76666677004337,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
113,False,"{'a': 0.2, 'e': 1.0}",25,0,-93.19559135547689,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.2, 'e': 1.0}",20,0,-53.96449597364442,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.2, 'e': 1.0}",25,0,-133.90435348467201,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
116,False,"{'a': 0.2, 'e': 1.0}",30,0,-105.45858440271954,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.2, 'e': 1.0}",20,0,-65.27960082743036,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.2, 'e': 1.0}",25,0,-99.15903181074228,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
119,False,"{'a': 0.2, 'e': 1.0}",20,0,-55.94857825920128,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 1.0}",20,0,-115.0561788404957,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
121,False,"{'a': 0.2, 'e': 1.0}",20,0,-104.42276844121848,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.2, 'e': 1.0}",25,0,-141.86929904570766,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
123,False,"{'a': 0.2, 'e': 1.0}",25,0,-167.53882057873426,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
124,False,"{'a': 0.2, 'e': 1.0}",20,0,-27.660094603522367,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
125,False,"{'a': 0.2, 'e': 1.0}",25,0,-64.02289621176108,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.2, 'e': 1.0}",25,0,-46.07322655889851,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 1.0}",25,0,-230.66916577055764,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
128,False,"{'a': 0.2, 'e': 1.0}",20,0,-36.45694573593181,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.2, 'e': 1.0}",25,0,-151.63514153658784,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
130,False,"{'a': 0.2, 'e': 1.0}",20,0,-83.75485988661711,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.2, 'e': 1.0}",35,0,-109.41365161150249,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
132,False,"{'a': 0.2, 'e': 1.0}",25,0,-99.69850174930727,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
133,False,"{'a': 0.2, 'e': 1.0}",20,5,-107.47027289636807,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
134,False,"{'a': 0.2, 'e': 1.0}",35,0,-160.45775361035578,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
135,False,"{'a': 0.2, 'e': 1.0}",20,0,-143.112948193678,"{0: 8, 1: 3, 2: 4, 3: 5, 4: 0}",0
136,False,"{'a': 0.2, 'e': 1.0}",20,11,-18.72084458574165,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 1.0}",20,0,-152.2046105626264,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
138,False,"{'a': 0.2, 'e': 1.0}",35,0,-94.42876928062388,"{0: 24, 1: 4, 2: 4, 3: 3, 4: 0}",0
139,False,"{'a': 0.2, 'e': 1.0}",20,0,-115.41130322221272,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.2, 'e': 1.0}",20,0,-51.183297353091376,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.2, 'e': 1.0}",30,0,-248.44826007511358,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
142,False,"{'a': 0.2, 'e': 1.0}",30,0,-132.31324366776667,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
143,False,"{'a': 0.2, 'e': 1.0}",25,0,-137.8103706916254,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
144,False,"{'a': 0.2, 'e': 1.0}",25,0,-214.9173367319767,"{0: 8, 1: 8, 2: 4, 3: 3, 4: 2}",0
145,False,"{'a': 0.2, 'e': 1.0}",30,0,-204.57006518635345,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
146,False,"{'a': 0.2, 'e': 1.0}",30,0,-142.22583018146378,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
147,False,"{'a': 0.2, 'e': 1.0}",20,0,-111.34924755737423,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
148,False,"{'a': 0.2, 'e': 1.0}",25,0,-149.0540127777943,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
149,False,"{'a': 0.2, 'e': 1.0}",20,0,-80.99148861692576,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
150,False,"{'a': 0.2, 'e': 1.0}",25,0,-206.3092724812461,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
151,False,"{'a': 0.2, 'e': 1.0}",25,0,-140.14915101223812,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
152,False,"{'a': 0.2, 'e': 1.0}",20,0,-118.8580737382324,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.2, 'e': 1.0}",20,0,-127.33188822240939,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
154,False,"{'a': 0.2, 'e': 1.0}",20,0,-42.236542154477085,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.2, 'e': 1.0}",25,0,-96.87253387557028,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
156,False,"{'a': 0.2, 'e': 1.0}",20,0,-19.546760629998797,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 1.0}",20,0,-134.27342244941394,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.2, 'e': 1.0}",25,0,-91.02917553897736,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
159,False,"{'a': 0.2, 'e': 1.0}",20,0,-95.73929143474406,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.2, 'e': 1.0}",30,0,-190.48871480115653,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
161,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.75552908294912,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
162,False,"{'a': 0.2, 'e': 1.0}",20,0,-92.39889227217618,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
163,False,"{'a': 0.2, 'e': 1.0}",20,0,-179.00179488688568,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
164,False,"{'a': 0.2, 'e': 1.0}",25,0,-85.21494864891503,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
165,False,"{'a': 0.2, 'e': 1.0}",25,0,-65.85424980715352,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.2, 'e': 1.0}",30,0,-247.69272948612937,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
167,False,"{'a': 0.2, 'e': 1.0}",30,0,-133.38570783665148,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
168,False,"{'a': 0.2, 'e': 1.0}",20,0,-33.381740522212304,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 1.0}",20,0,-70.24837714039971,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 1.0}",20,0,-93.23329191815245,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
171,False,"{'a': 0.2, 'e': 1.0}",20,0,-77.878772430661,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
172,False,"{'a': 0.2, 'e': 1.0}",30,0,-172.23908274396487,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
173,False,"{'a': 0.2, 'e': 1.0}",20,0,-119.30934496954937,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
174,False,"{'a': 0.2, 'e': 1.0}",25,0,-251.76031595160129,"{0: 8, 1: 7, 2: 5, 3: 1, 4: 4}",0
175,False,"{'a': 0.2, 'e': 1.0}",20,0,-241.31405743229982,"{0: 6, 1: 2, 2: 6, 3: 3, 4: 3}",0
176,False,"{'a': 0.2, 'e': 1.0}",20,0,-137.25919035552656,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
177,False,"{'a': 0.2, 'e': 1.0}",20,0,-103.33497401702122,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 1.0}",20,0,-112.83593228528659,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.2, 'e': 1.0}",25,0,-152.2658772021826,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
180,False,"{'a': 0.2, 'e': 1.0}",25,8,-145.72667928825447,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 3}",1
181,False,"{'a': 0.2, 'e': 1.0}",25,0,-123.80572972220129,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
182,False,"{'a': 0.2, 'e': 1.0}",20,0,-44.792561160484915,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
183,False,"{'a': 0.2, 'e': 1.0}",30,0,-136.84911680251608,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
184,False,"{'a': 0.2, 'e': 1.0}",20,0,-161.21098366172114,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
185,False,"{'a': 0.2, 'e': 1.0}",25,0,-104.88458104312873,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
186,False,"{'a': 0.2, 'e': 1.0}",25,0,-85.85638628911668,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
187,False,"{'a': 0.2, 'e': 1.0}",25,0,-101.75585387971066,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
188,False,"{'a': 0.2, 'e': 1.0}",30,0,-166.70938376526942,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
189,False,"{'a': 0.2, 'e': 1.0}",20,0,-140.0811136804034,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
190,False,"{'a': 0.2, 'e': 1.0}",25,0,-149.03437858365018,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
191,False,"{'a': 0.2, 'e': 1.0}",25,0,-82.46163099948019,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
192,False,"{'a': 0.2, 'e': 1.0}",20,0,-23.097008449831275,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
193,False,"{'a': 0.2, 'e': 1.0}",20,0,-169.4986632053985,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
194,False,"{'a': 0.2, 'e': 1.0}",20,0,-103.59861608987946,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
195,False,"{'a': 0.2, 'e': 1.0}",25,0,-182.68814041410522,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
